transcript,summary
So here everything looks good anything is pending? Anyonw who has to show I guess bhanu has worked on the this part uh audio snippet uh parts bhanu can you show that once?,Bhanu to show his work on audio snippets
And even this is the one on the system uh this is the hmm hmm yes avijit I put the JSON in that UI,Avijit has added JSON in the UI.
So this is looking like this okay yeah have put some sample are nice awesome,Sample audio was added
Instead of that we'll just give this path to them correct okay,"Instead, we'll give this path."
Correct okay so you will be showing this us today right?,You will be showing this today?
I'll try to finish it off today,I'll try to finish it off today
"even if it, uh, you don't finish it off, you can just show this part, whatever condition is in. you can show it okay because this is our USP. 1 nice feature that we have added","You can show this in whatever condition it is in, this is 1 nice feature as USP added."
Okay,Okay
So it can be downloaded also,It can be downloaded also
In future or now? Yeah now futue yes now I think can it be downloaded ,"In future, it can be downloaded."
Yeah yeah oh,Yeah
wow so I guess this functionality is already there so you can inlater you can remove this download option directly then yeah can download it from there.,"Later, you can remove this download option because this functionality is already there."
yeah yes ,Yes
I'll just put this uh cross button over here and this snippet and if they want to download they can download from here ,The cross button and snippet to be added for anyone to download.
correct correct yeah I think that's have we we ,Correct.
yeah I have 1 more question avijit yeah I'm sharing my screen just yeah so I have put avinash's code here okay so this yeah that where is the keyframes move they mived the data okay I loaded the JSON uh which uh was there which avinash showed so this is this was overview okay okay yeah okay correct wait no overview should which where should it come in the UI? this overview right?,"I have put Avinash's code here, I loaded the JSON which Avinash showed. My question is, where should overview appear in the UI? This overview?"
Yes,Yes
Yeah here also and here also both times the same thing will come yeah ,Yeah here also.
Later or this left overview we will make it much more smaller right,The overview section will get smaller.
Overview will be as it is okay okay sure now It's fine,Overview will be as it is.
"Yes. Yes, it's fine. Can you show go down and, uh, show the summary part? Okay ounds like a plan we can have, so there should be, uh, how to, so how do they make it why it has come in summary. Okay it is showing all the summary in all the transcripts as of now.","In the summary part, is it showing all the summary in all the transcripts as of now?"
Yeah okay so complete summary,Yeah complete summary
Okay noted can you click on action once?,Can you click on action?
"Nothing will happen. The old, things will come no this gets shorter but I don't know these are the",This gets shorter but I don't know if these are 
"summaries, actions okay so actually summary should be not today but transcript should be everything summary should be only those uh those sentences which are present in that timeline timeline yeah and Anthem tools tools sentiment, name and deadline yeah hrisheek","Summaries or actions. Transcript should be everything, summary should be those sentences which are present in timeline, Anthem tools, tools, sentiment, name and deadline. "
Hrisheek was working on it. So. ,Hrisheek was working on it.
"Yes sir I will be doing that yeah other than that and anyways not for today. Uh, but today it's awesome yeah same JSON please forward me I will apply on the I am forwading it right now. This is a scrum meeting JSON right ",I'll be doing that sir. Same JSON please forward me. This is Scrum meeting JSON right?
Yes yes 18 jan scrum perfect perfect ,Yes 18 Jan Scrum. 
So I guess today we only have 1 hour of time. So because uh guys Kajari just mentioned that she will leaving at 6:30 so in 1 hour we have to finish everything. Last time a lot of people uh this thing got over I mean they didn't get the chance to attend the demo. yeah yeah so i guess we have to plan it like uh by 6:20 we have to finish it so that after that 10 minutes can be taken by Nikita suresh sarika kajari asks questions then for that as well yeah,"Kajari mentioned that she will be leaving at 6:30, in 1 hour we have to finish everything. To attend the demo, we have to finish it by 6:20, so after that 10 minutes can be taken by Nikita, Suresh, Sarika. Kajari asks questions, for that as well."
"Okay so we have similar demo right next week also. Next week, so team don't worry  Um, we have time, so whatever you can show up for this one hour uh stipulated time let's do it and obviously it is really good.","In the given stipulated time, let's do the demo."
Much better than last time,Much better than last time
No comparison I tell you,No comparison I tell you
"Okay so just a quick note on the today stories. And I don't think we need a sync-u call now, Do we? No no it is a just","I don't we need a sync-up call, do we? No."
then let's quickly touchbase on the sravanthi I have only one doubt with Himanshu so yeah yeah so actually himanshu ,Sravanthi I have one dount with Himanshu.
"I have received that, uh, react app native. So, but I don't have any node in uh my local machine. So I'll do one thing i created this button now so in the Javascript code. And also I'll write it with that old HTML only then you can incorporate with that your code that will be helpful for you ","I have received react app native but, I don't have any node in my local machine. I created this button in Javascript code, I'll write it in old HTML then you can incorporate with your code."
okay fine you can do that no issues yeah sure,You can do that.
Yeah sure then It's fine yes I will start today. So sravanthi you can make it in-progress that ID is hive 91,Sravanthi can move ID 91 to in-progress.
yeah the changing timelines right? Yes yesh okay and I'll just move it to in-progress,The changing timelines will be moved to in-progress.
a one qucik note to sarika,A quick note to sarika
Sarika I have moved the story to in-progress which was closed we were talking about,"Sarika, I have moved the story to in-progress."
it yesterday yeah sravanthi I moved it ,Yeah Sravanthi. I moved it.
to in-progress so yeah so I believe by next weekend all of the 4 stories should be moved to uh ready for release not weekend at whatever time we have the due date time we thought before the sprint,"By weekend all 4 stories should be moved to ready to release, by due date."
So I have a question here for meeting 4 uh we have a 4 days remaining right? Meeting 4,Are there 4 days remaining for meeting 4?
so hive 95 meeting huh? For this? Yes hive hive I should be moving it to in-progress for now. I think did you get the 3rd uh script? Yeah,I have to move HIVE 95 meeting to in-progress. Did you get 3rd script?
Oh a script hive 95 sravanthi,Hive 95 Sravanthi.
the hive 95 is 2 scripts one no yeah,Hive 95 has 2 scripts.
yeah it's it has by today,Yeah
it should be no no no by today it should be finishing sarika,By today it should finish Sarika.
okay,Okay
Fine see I'll tell you what no confusion for per week 2 weeks scripts yeah,Per week 2 scripts each
scripts each okay hmm okay that makes this stort has 2 scripts this story as 2 scripts this is yeah a week's story,A week's story has 2 scripts each.
"is a week's story done and you, you people should be working on the next the stories already these 2. so it only then you will be able to give me 2 stories per week, which are 4 from your end","You people should give 2 stories per week, which are 4 from your end."
clear? Yeah,Is it clear?
"we can we can touch base offlibe. If you have, if we still get confused or if I'm confusing you.",To touchbase offline if still confused
Yeah okay okay let's move on team let's close it you have so much work to do. Let's give it a quick update on your stories,A quick update on team's stories.
who goes first?,who goes first?
who who hi sravanthi amit okay,Hi Sravanthi. Amit okay.
So I've completed hive 81 and also integrated it I will attach the relevant documents and move it to in-review.,"Hive 81 is completed and relevant documents will be attached, can move it to in-review."
