transcript,entities
Hi Himanshu,"[[3, 11, 'Person Name']]"
Yes avijit hi yeah,"[[4, 10, 'Person Name']]"
Yeah like uh you also like you told me that you will be organizing a KT for me like I also joined to send in this project now basic idea for this project,"[[69, 71, 'Event']]"
Cool so at 3:30 I have meeting with Shilpa and sravanthi so at the same time you can also join and yeah you can have,"[[36, 42, 'Person Name'], [47, 56, 'Person Name']]"
"so today who's uh MoM writing, date was the 3rd person.","[[3, 8, 'Date']]"
After bhanu after bhanu it was me sir but uh I'm the 4th guy,"[[6, 11, 'Person Name'], [18, 23, 'Person Name']]"
4th 4th so who's uh I think anuj anuj was 2nd uh bhanu teja has did the 2nd position,"[[28, 32, 'Person Name'], [33, 37, 'Person Name'], [49, 59, 'Person Name']]"
"Okay. So that means that makes, anuj as 3rd but I think anuj has resigned from the organisation so I'm not sure whether","[[32, 36, 'Person Name'], [56, 60, 'Person Name']]"
How much he will be joining these sessions but anuj is here hi anuj,"[[47, 51, 'Person Name'], [63, 67, 'Person Name']]"
So  let me give you the work. So I guess today it's your turn to take the uh minutes of meeting,"[[41, 46, 'Date']]"
and pen that will be a little faster because this MoM is not for uh like general MoM so which we upload in confluence this is for the model training so,"[[107, 117, 'Tool']]"
"So, okay. So I'll repeat whatever I said before the recording. So avinash you have done for the first video, you have done the classification task as well. So now for the second video, you do the same thing. Uh, tell the classification and both the Excel sheets you can share So that will be the first task done. Then one second  let me share that, uh, um, that Excel sheet where I created the plan. One second.","[[66, 73, 'Person Name'], [249, 261, 'Tool'], [362, 373, 'Tool']]"
"So let's just start with Abinash. So, anyways, as of now we are following this uh particular table, but once the scrum and everything is done, then we will be following the exact scrum rules.","[[25, 32, 'Person Name'], [113, 118, 'Scrum'], [179, 190, 'Scrum']]"
"Getting assigned with uh, epics and a task is beside them and based on the sprint planning. We will continue. But for this week, uh, till uh, uh, sravanthi's completely onboarded into inside This project, maybe we'll have to continue with this particular table.  Okay so for avinash speaker diarisation is done with for for first video the second video you guys will generating now the next thing is spell checkers and summary clean up so actually spell checker is part of summary clean up only so avijit and avinash you both will be working on this so avijit","[[26, 31, 'Scrum'], [38, 42, 'Scrum'], [75, 90, 'Event'], [146, 157, 'Person Name'], [275, 282, 'Person Name'], [498, 504, 'Person Name'], [509, 516, 'Person Name'], [553, 559, 'Person Name']]"
I will be giving you the KT at 3:30 but still.,"[[25, 27, 'Event']]"
"You can parallely work with avinash yeah sure on the summary it's a normal NLP task. So you can, I mean, uh, for the first video you have the mom, the manual mom as well. as The generated transcript. So you will, you both will have to see what kind of error so avinash the same task, the red pointers that you had in the previous Excel sheet, same thing you will have to done you will have to do. And then you will have to come up. You both have to come up with a strategy, like how this can be automated, whether we have to create a custom dictionary, or uh, anything. So first you will have to compare both the transcripts and then come up with the strategies based on that. So once every avinash avinash you also shared, you shared it with the WhatsApp i mean sorry the team's group then i will also have a look at it i will also compare and maybe i'll also.","[[28, 35, 'Person Name'], [75, 78, 'Technologies'], [261, 268, 'Person Name'], [330, 341, 'Tool'], [691, 698, 'Person Name'], [699, 706, 'Person Name'], [747, 755, 'Tool'], [773, 779, 'Tool']]"
"same thing you will have to done you will have to do. And then you will have to come up. You both have to come up with a strategy, like how this can be automated, whether we have to create a custom dictionary, or uh, anything. So first you will have to compare both the transcripts and then come up with the strategies based on that. So once every avinash you also shared, you shared it with the WhatsApp i mean sorry","[[348, 355, 'Person Name'], [396, 404, 'Tool']]"
The team's group.,"[[4, 10, 'Tool']]"
"thing is amit and dhanuj. So text summarization, so you will be finding the actual transcript and you will be having the mom. So you will have to see what are the exact, uh, sentences in the generated transcript, which matches with the mom. And then based on that, you will have to summarize. So obviously the summarization will be the normal process which you have been doing using Pegasus or T5 after that you will have to see after the summarization, what are those important things and what are not? So you continue with the text summarization, and then after that you will be, uh, giving this summary to, uh, I guess, uh,hrisheek and divesh","[[9, 13, 'Person Name'], [18, 24, 'Person Name'], [626, 634, 'Person Name'], [639, 645, 'Person Name']]"
Hrisheek and divesh for topics.,"[[0, 8, 'Person Name'], [13, 19, 'Person Name']]"
"topics extraction and, uh bhanu and, uh, anuj till anuj is in the team bhanu. Once anuj leaves the team and we don't have any replacement. And I guess bhanu will join, hrisheek and divesh and because intent extraction or topics extraction, they are almost same. The only thing is.","[[26, 31, 'Person Name'], [41, 45, 'Person Name'], [51, 55, 'Person Name'], [71, 76, 'Person Name'], [83, 87, 'Person Name'], [151, 156, 'Person Name'], [168, 176, 'Person Name'], [181, 187, 'Person Name']]"
"We already know that we will be classifying questions, exclamations and, uh, some special tasks like that, while topics extraction, like what is the theme on which we are talking about? So whether we are talking about workos, we are talking about Docker in that particular sentence. So like that you will have to extract those topics","[[218, 224, 'Technical Platform'], [247, 253, 'Technologies']]"
